head,tail,expected_relation,predicted_relation
223720,1327301,derivationally related form,derivationally related form
8792548,8011523,member of domain region,hypernym
2842303,4565963,hypernym,hypernym
3738241,4377057,hypernym,member of domain region
1654271,768921,derivationally related form,instance hypernym
306314,5623181,derivationally related form,hypernym
9133500,8524735,instance hypernym,hypernym
2271544,646413,also see,hypernym
12611479,11556857,hypernym,member of domain usage
90253,10511069,derivationally related form,member of domain usage
1650610,235435,derivationally related form,derivationally related form
11502102,216216,derivationally related form,hypernym
1572978,1212572,hypernym,derivationally related form
2466111,1222884,also see,hypernym
9113762,8524735,instance hypernym,instance hypernym
1632103,5891572,derivationally related form,hypernym
2113430,907340,derivationally related form,hypernym
13023783,13031690,member meronym,member of domain region
11915899,11915214,hypernym,member meronym
331950,191142,hypernym,hypernym
8860123,10513509,member of domain region,member of domain region
353469,267855,derivationally related form,Derivationally related form
3069213,3149951,hypernym,member of domain region
3791053,4576211,hypernym,member meronym
2470451,2489288,member meronym,member of domain region
5370125,5418717,hypernym,hypernym
5399847,1471682,synset domain topic of,member of domain region
2552737,1429349,hypernym,hypernym
5204004,8199025,synset domain topic of,member meronym
2036982,2037110,member meronym,hypernym
13658496,13649268,hypernym,hypernym
10518194,10435988,hypernym,member of domain usage
2140781,229260,derivationally related form,hypernym
2538216,2537085,hypernym,"Member meronym, Tail:trout, Head: speckled trout"
6154464,6153846,hypernym,instance hypernym
2198996,1762525,hypernym,member of domain region
725274,7298154,derivationally related form,hypernym
8142170,8348815,hypernym,Hypernym
5496990,5499379,has part,member of domain region
7605474,7597365,hypernym,hypernym
1357831,1296462,hypernym,hypernym
10942144,10020890,instance hypernym,hypernym
7152463,7152259,hypernym,has part
573932,126264,hypernym,synset domain
521562,1711445,derivationally related form,hypernym
8904392,8524735,instance hypernym,hypernym
14786479,21939,hypernym,hypernym
1074650,4654337,derivationally related form,hypernym
1688589,1687665,hypernym,instance hypernym
10460033,10053808,hypernym,instance hypernym
2566528,68901,derivationally related form,hypernym
331082,3724417,derivationally related form,has part
229026,109660,hypernym,similar to
8244062,10120085,derivationally related form,instance hypernym
6755776,6755568,hypernym,hypernym
917772,10102506,derivationally related form,hypernym
14560360,13920835,hypernym,member of domain usage
1754105,113113,derivationally related form,derivationally related form
2951170,1422172,derivationally related form,"hypernym 

Head: cannula, a small flexible tube inserted into a body cavity for draining off fluid or introducing medication
 Tail: intubate, introduce a cannula or tube into; ""Cannulate the blood vessel in the neck"""
621734,5685030,derivationally related form,member of domain region
9980090,7049713,derivationally related form,hypernym
12201166,11575425,hypernym,hypernym
6148148,6143154,hypernym,hypernym
1877204,1850315,hypernym,member of domain region
2092309,7460104,derivationally related form,hypernym
11654124,11654438,member meronym,hypernym
11195619,10301261,instance hypernym,member of domain usage
2037090,9437454,derivationally related form,member of domain region
4169437,4593866,has part,Member meronym
1920698,523513,synset domain topic of,instance hypernym
1926311,2075049,also see,instance hypernym
9797113,2565491,derivationally related form,hypernym
8765460,8633957,instance hypernym,member meronym
2541875,1432517,hypernym,has part
6364329,6362953,hypernym,instance hypernym
10599806,1731031,derivationally related form,hyponym (not listed) :  member of domain usage
13000668,11592146,hypernym,member of domain region
8923755,8524735,instance hypernym,hypernym
847683,846509,hypernym,hypernym
8173515,8761244,member meronym,member of domain region
9051235,9103943,has part,member of domain region
2454119,2455310,member meronym,Member of domain region
1800422,271263,derivationally related form,Derivationally related form
897026,894552,hypernym,instance hypernym
1358328,8253450,derivationally related form,hypernym
336718,126264,hypernym,derivationally related form
5520479,5264756,hypernym,member of domain region
2662979,1203676,derivationally related form,hypernym
6135915,3002351,derivationally related form,derivation
180770,180413,hypernym,hypernym
1500082,2818832,derivationally related form,has part
1822724,13811900,derivationally related form,hypernym
4151581,4014297,hypernym,hypernym
8023843,759694,synset domain topic of,hypernym
2472012,2474777,member meronym,instance hypernym
5055503,17222,synset domain topic of,has part
14501545,14500908,hypernym,hypernym
3318983,4014297,hypernym,member meronym
832626,659349,has part,hypernym
1708676,428270,derivationally related form,hypernym
1747945,6678302,derivationally related form,member of domain usage
6062076,9919297,derivationally related form,member meronym
6877849,6877078,hypernym,similar to
378042,140123,hypernym,Also see
2661252,2666239,hypernym,member meronym
12217211,12217586,member meronym,member of domain usage
3776460,4467099,hypernym,hypernym
1015244,5823932,derivationally related form,hypernym
6915601,6906439,hypernym,Hypernym
9999532,2253766,derivationally related form,hypernym
12213635,12216028,member meronym,member of domain region
2330582,2350845,member meronym,member of domain region
10985440,9805475,instance hypernym,member of domain usage
1989869,1974773,hypernym,hypernym
652346,5763412,derivationally related form,instance hypernym
11675096,11675842,hypernym,member of domain region
6845599,3739136,member of domain usage,hypernym
8816236,9750891,member meronym,member of domain region
13423615,1254013,derivationally related form,hypernym
883226,10274318,derivationally related form,derivationally related form
7186148,7185325,hypernym,hypernym
2230782,2231930,member meronym,member of domain
12514592,13112664,hypernym,member meronym
771961,7246582,derivationally related form,has part
10067968,10215623,hypernym,member of domain usage
9093608,8655464,instance hypernym,instance hypernym
2559862,2554730,hypernym,member meronym
2023992,3386011,derivationally related form,member meronym
1786419,1785971,hypernym,derivationally related form
6350127,10654015,derivationally related form,hypernym
4103918,2691156,synset domain topic of,hypernym
8920924,8925287,has part,member meronym
1208597,1207609,hypernym,member meronym
13722757,13722522,has part,member of domain usage
2465693,2120451,derivationally related form,hypernym
1418037,243918,synset domain topic of,hypernym
2501101,1342529,hypernym,member of domain
1385017,1384687,hypernym,hypernym
14598079,1539633,derivationally related form,Derivationally related form
15278281,15286249,hypernym,similar to
2464626,2463205,has part,member of domain region
2753255,331102,derivationally related form,hypernym
1292885,4613158,derivationally related form,member of domain usage
6590885,6677302,synset domain topic of,hypernym
739632,739270,hypernym,hypernym
344421,331950,hypernym,member meronym
10347446,8199025,synset domain topic of,member of domain region
4530566,4117216,has part,member_of_domain_usage
7185325,753428,derivationally related form,hypernym
10247880,7846,hypernym,member of domain region
7752109,7751451,hypernym,hypernym
2338901,2329401,hypernym,member of domain region
504901,115157,hypernym,hypernym
9189411,8707917,has part,hypernym
1523908,1584004,member meronym,member of domain region
2690708,8624196,derivationally related form,hypernym
395333,2350175,derivationally related form,Member of domain usage
1831308,5685030,derivationally related form,synset domain
13566535,376106,derivationally related form,derivationally related form
2163982,1342529,hypernym,member of domain region
873603,884778,also see,similar to
2457058,44900,derivationally related form,hypernym
4889162,4887912,hypernym,hypernym
264776,4860586,derivationally related form,Hypernym
8179879,7942152,hypernym,hypernym
7485475,1188485,derivationally related form,hypernym
8765069,8691669,instance hypernym,instance hypernym
8231499,8078819,member meronym,Hypernym
188137,187526,hypernym,hypernym
7105475,15267945,member of domain usage,Derivationally related form
1880113,1831531,hypernym,member of domain usage
3158885,3474896,has part,member of domain region
10379620,1081152,derivationally related form,Derivationally related form
10771270,1041415,derivationally related form,derivation and synset domain topic of
1400044,125629,derivationally related form,hypernym
2154508,6767035,derivationally related form,member of domain usage
650353,10012815,derivationally related form,hypernym
93979,241689,hypernym,member of domain usage
2647497,5393023,derivationally related form,member of domain
8760510,8761244,member meronym,member meronym
2038357,5068080,derivationally related form,similar to
1194483,4663763,derivationally related form,hypernym
635794,575365,derivationally related form,hypernym
8955626,8700255,instance hypernym,hypernym
1134781,122954,derivationally related form,Hypernym
8566028,8568978,hypernym,member meronym
456596,456740,verb group,similar to
915830,941990,hypernym,hypernym
14462193,14460565,hypernym,antonym
241038,7313004,derivationally related form,member of domain usage
858377,858188,hypernym,synset domain
921072,5919034,derivationally related form,Derivationally related form
12883395,11579418,hypernym,instance hypernym
8131530,8347704,has part,member of domain region
369194,8303504,derivationally related form,member of domain usage
15145782,15290337,hypernym,has part
1305361,8640111,derivationally related form,member of domain usage
306426,306900,has part,member of domain region
1020005,6765044,derivationally related form,hypernym
1950798,1105259,derivationally related form,member of domain usage
6951067,10589243,member of domain usage,hypernym
1629589,1617192,hypernym,derivationally related form
8024096,759694,synset domain topic of,member of domain
164999,163779,hypernym,hypernym
1209678,5566504,derivationally related form,member meronym
2579447,10419047,derivationally related form,hypernym
7039056,1707495,derivationally related form,hypernym
8101410,1429455,derivationally related form,member meronym
2016523,7370125,derivationally related form,hypernym
6142118,5999797,hypernym,instance hypernym
12423565,12459471,member meronym,member of domain
7619881,7566340,hypernym,hypernym
1753488,1752165,hypernym,member of domain region
10820790,10705615,instance hypernym,hypernym
2163183,2162947,hypernym,similar to
15037339,15037664,has part,has part
6013584,6000644,synset domain topic of,member meronym
710005,704690,hypernym,member of domain usage
9760913,1728355,derivationally related form,derivationally related form
2108026,2108377,hypernym,hypernym
14302261,2616627,derivationally related form,hypernym
11217479,10794014,instance hypernym,hypernym
11683989,1500873,derivationally related form,member of domain usage
1217043,3421117,derivationally related form,member of domain usage
12423565,12473011,member meronym,instance hypernym.
7211752,66025,derivationally related form,derivationally related form
5514272,5514081,hypernym,hypernym
11835451,11573660,hypernym,has part
6180720,5870916,hypernym,member of domain region
9252078,9411430,instance hypernym,member meronym
3852280,3656484,has part,hypernym
1467180,1467504,member meronym,member of domain region
8792548,8797840,has part,"instance of the entity ""head"""
6609503,6607339,hypernym,member of domain usage
43765,2603699,derivationally related form,existent - has part - exist
207306,206927,hypernym,hypernym
6151693,6143154,hypernym,hypernym
1696648,1675963,hypernym,hypernym
3075191,6974127,derivationally related form,member of domain region
11886788,11575425,hypernym,member meronym
1374465,9397607,derivationally related form,member of domain usage
8152657,10547145,member meronym,hypernym
1834896,1835103,verb group,derivationally related form
2766792,3452741,hypernym,member meronym
3530910,3532187,has part,member meronym
1771390,1767949,hypernym,member of domain usage
8023843,8392137,instance hypernym,hypernym
13000372,13004160,member meronym,Member of domain region
8928933,8524735,instance hypernym,hypernym
455529,252430,derivationally related form,hypernym
14863521,14859838,hypernym,member meronym
13137409,7742704,has part,hypernym
881329,880978,hypernym,hypernym
4543772,4283378,has part,Member of domain usage
9614047,264776,derivationally related form,hypernym
12079737,11556857,hypernym,member of domain region
11795366,11556857,hypernym,hypernym
198793,191142,hypernym,hypernym
977153,976653,hypernym,hypernym
417643,1424948,derivationally related form,Hypernym.
10060352,796886,derivationally related form,hypernym
574996,7416107,derivationally related form,hypernym
6584891,6355894,hypernym,member of domain usage
8815046,9693809,member meronym,Hypernym
2124748,2106506,hypernym,derivation
9044862,7647496,member of domain region,member meronym
6335832,6333653,hypernym,derivationally related form
12574727,11585340,hypernym,member of domain usage
40962,2724417,derivationally related form,member of domain usage
7086518,1880113,derivationally related form,member of domain usage
12194776,12195965,member meronym,member of domain region
4217882,1498319,derivationally related form,member meronym
12154628,12154773,member meronym,hypernym
3339296,4188643,hypernym,member meronym
4029734,4421872,hypernym,hypernym
15237782,15236475,hypernym,member of domain topic
2428487,53913,derivationally related form,instance hypernym
15163005,15157041,hypernym,Hypernym
8929243,8929555,has part,member of domain region
236581,2007417,derivationally related form,hypernym
1792097,1790020,hypernym,derivationally related form
8715952,8524735,instance hypernym,member of domain region
4003241,4330340,hypernym,hypernym
4987620,982293,derivationally related form,member of domain usage
10274639,9931267,hypernym,synset domain topic of
