relation,text,cluster,cluster_words
/business/job_title/people_with_this_title./business/employment_tenure/company,business job title people with this title. business employment tenure company,10,"government, administrative, base, held, county"
/location/country/form_of_government,location country form of government,7,"country, location, capital, language, division"
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,base schemastaging organization extra phone number. base schemastaging phone sandbox service language,10,"government, administrative, base, held, county"
/people/person/place_of_birth,people person place of birth,8,"people, person, place, of, tenure"
/sports/sports_team/colors,sports sports team colors,12,"sports, team, draft, league, athlete"
/education/educational_institution/school_type,education educational institution school type,9,"education, educational, institution, degree, field"
/award/award_category/winners./award/award_honor/award_winner,award award category winners. award award honor award winner,15,"award, honor, awards, for, winner"
/organization/organization/headquarters./location/mailing_address/citytown,organization organization headquarters. location mailing address citytown,6,"organization, location, place, region, member"
/education/educational_degree/people_with_this_degree./education/education/student,education educational degree people with this degree. education education student,9,"education, educational, institution, degree, field"
/government/legislative_session/members./government/government_position_held/legislative_sessions,government legislative session members. government government position held legislative sessions,10,"government, administrative, base, held, county"
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,film film distributors. film film film distributor relationship film distribution medium,1,"film, by, performance, release, actor"
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,education educational degree people with this degree. education education major field of study,9,"education, educational, institution, degree, field"
/location/hud_county_place/county,location hud county place county,10,"government, administrative, base, held, county"
/location/administrative_division/country,location administrative division country,7,"country, location, capital, language, division"
/film/film/film_production_design_by,film film film production design by,1,"film, by, performance, release, actor"
/award/award_winning_work/awards_won./award/award_honor/award,award award winning work awards won. award award honor award,15,"award, honor, awards, for, winner"
/organization/organization/headquarters./location/mailing_address/state_province_region,organization organization headquarters. location mailing address state province region,6,"organization, location, place, region, member"
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,base schemastaging organization extra phone number. base schemastaging phone sandbox contact category,10,"government, administrative, base, held, county"
/tv/tv_program/country_of_origin,tv tv program country of origin,0,"tv, program, producer, regular, personal"
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,olympics olympic participating country medals won. olympics olympic medal honor medal,13,"olympics, olympic, medal, country, athlete"
/location/country/second_level_divisions,location country second level divisions,7,"country, location, capital, language, division"
/award/award_ceremony/awards_presented./award/award_honor/honored_for,award award ceremony awards presented. award award honor honored for,15,"award, honor, awards, for, winner"
/organization/organization_member/member_of./organization/organization_membership/organization,organization organization member member of. organization organization membership organization,6,"organization, location, place, region, member"
/education/educational_institution/campuses,education educational institution campuses,9,"education, educational, institution, degree, field"
/music/artist/contribution./music/recording_contribution/performance_role,music artist contribution. music recording contribution performance role,11,"music, artist, genre, contribution, track"
/award/ranked_item/appears_in_ranked_lists./award/ranking/list,award ranked item appears in ranked lists. award ranking list,15,"award, honor, awards, for, winner"
/people/person/religion,people person religion,8,"people, person, place, of, tenure"
/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,travel travel destination climate. travel travel destination monthly climate month,10,"government, administrative, base, held, county"
/film/special_film_performance_type/film_performance_type./film/performance/film,film special film performance type film performance type. film performance film,1,"film, by, performance, release, actor"
/award/award_nominee/award_nominations./award/award_nomination/award,award award nominee award nominations. award award nomination award,15,"award, honor, awards, for, winner"
/location/statistical_region/religions./location/religion_percentage/religion,location statistical region religions. location religion percentage religion,17,"location, statistical, region, relationship, popstra"
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,sports sports league draft picks. sports sports league draft pick school,12,"sports, team, draft, league, athlete"
/film/film/distributors./film/film_film_distributor_relationship/region,film film distributors. film film film distributor relationship region,1,"film, by, performance, release, actor"
/government/politician/government_positions_held./government/government_position_held/legislative_sessions,government politician government positions held. government government position held legislative sessions,10,"government, administrative, base, held, county"
/organization/role/leaders./organization/leadership/organization,organization role leaders. organization leadership organization,6,"organization, location, place, region, member"
/tv/tv_network/programs./tv/tv_network_duration/program,tv tv network programs. tv tv network duration program,0,"tv, program, producer, regular, personal"
/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,18,"roster, sports, position, football, team"
/music/instrument/instrumentalists,music instrument instrumentalists,11,"music, artist, genre, contribution, track"
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,business business operation operating income. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/people/cause_of_death/people,people cause of death people,3,"people, of, marriage, spouse, person"
/film/film/film_art_direction_by,film film film art direction by,1,"film, by, performance, release, actor"
/people/person/sibling_s./people/sibling_relationship/sibling,people person sibling s. people sibling relationship sibling,8,"people, person, place, of, tenure"
/film/film/cinematography,film film cinematography,1,"film, by, performance, release, actor"
/film/actor/dubbing_performances./film/dubbing_performance/language,film actor dubbing performances. film dubbing performance language,1,"film, by, performance, release, actor"
/base/biblioness/bibs_location/state,base biblioness bibs location state,14,"base, current, event, of, location"
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,base petbreeds city with dogs top breeds. base petbreeds dog city relationship dog breed,14,"base, current, event, of, location"
/people/person/gender,people person gender,8,"people, person, place, of, tenure"
/education/field_of_study/students_majoring./education/education/student,education field of study students majoring. education education student,9,"education, educational, institution, degree, field"
/base/popstra/celebrity/dated./base/popstra/dated/participant,base popstra celebrity dated. base popstra dated participant,4,"popstra, base, celebrity, dated, location"
/sports/sports_team/roster./american_football/football_roster_position/position,sports sports team roster. american football football roster position position,18,"roster, sports, position, football, team"
/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,15,"award, honor, awards, for, winner"
/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,olympics olympic participating country medals won. olympics olympic medal honor olympics,13,"olympics, olympic, medal, country, athlete"
/film/director/film,film director film,1,"film, by, performance, release, actor"
/tv/tv_producer/programs_produced./tv/tv_producer_term/program,tv tv producer programs produced. tv tv producer term program,0,"tv, program, producer, regular, personal"
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,film film distributor films distributed. film film film distributor relationship film,1,"film, by, performance, release, actor"
/olympics/olympic_games/sports,olympics olympic games sports,13,"olympics, olympic, medal, country, athlete"
/music/record_label/artist,music record label artist,11,"music, artist, genre, contribution, track"
/education/university/local_tuition./measurement_unit/dated_money_value/currency,education university local tuition. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/film/film/story_by,film film story by,1,"film, by, performance, release, actor"
/people/person/spouse_s./people/marriage/spouse,people person spouse s. people marriage spouse,3,"people, of, marriage, spouse, person"
/sports/sports_league/teams./sports/sports_league_participation/team,sports sports league teams. sports sports league participation team,12,"sports, team, draft, league, athlete"
/people/profession/specialization_of,people profession specialization of,3,"people, of, marriage, spouse, person"
/base/americancomedy/celebrity_impressionist/celebrities_impersonated,base americancomedy celebrity impressionist celebrities impersonated,10,"government, administrative, base, held, county"
/tv/tv_program/genre,tv tv program genre,0,"tv, program, producer, regular, personal"
/award/award_category/nominees./award/award_nomination/nominated_for,award award category nominees. award award nomination nominated for,15,"award, honor, awards, for, winner"
/language/human_language/countries_spoken_in,language human language countries spoken in,10,"government, administrative, base, held, county"
/organization/organization/headquarters./location/mailing_address/country,organization organization headquarters. location mailing address country,6,"organization, location, place, region, member"
/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,location statistical region gdp real. measurement unit adjusted money value adjustment currency,2,"measurement, unit, currency, money, value"
/education/university/fraternities_and_sororities,education university fraternities and sororities,9,"education, educational, institution, degree, field"
/award/award_nominee/award_nominations./award/award_nomination/award_nominee,award award nominee award nominations. award award nomination award nominee,15,"award, honor, awards, for, winner"
/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,military military combatant military conflicts. military military combatant group combatants,10,"government, administrative, base, held, county"
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,award award nominated work award nominations. award award nomination nominated for,15,"award, honor, awards, for, winner"
/location/location/time_zones,location location time zones,17,"location, statistical, region, relationship, popstra"
/film/film/dubbing_performances./film/dubbing_performance/actor,film film dubbing performances. film dubbing performance actor,1,"film, by, performance, release, actor"
/film/film_subject/films,film film subject films,1,"film, by, performance, release, actor"
/education/educational_degree/people_with_this_degree./education/education/institution,education educational degree people with this degree. education education institution,9,"education, educational, institution, degree, field"
/education/educational_institution/colors,education educational institution colors,9,"education, educational, institution, degree, field"
/award/award_category/category_of,award award category category of,5,"category, award, of, actor, producer"
/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,tv tv personality tv regular appearances. tv tv regular personal appearance program,0,"tv, program, producer, regular, personal"
/film/film/language,film film language,1,"film, by, performance, release, actor"
/music/group_member/membership./music/group_membership/group,music group member membership. music group membership group,16,"music, group, role, membership, performance"
/business/business_operation/revenue./measurement_unit/dated_money_value/currency,business business operation revenue. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/film/film/film_festivals,film film film festivals,1,"film, by, performance, release, actor"
/film/actor/film./film/performance/special_performance_type,film actor film. film performance special performance type,1,"film, by, performance, release, actor"
/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,organization non profit organization registered with. organization non profit registration registering agency,6,"organization, location, place, region, member"
/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office,government politician government positions held. government government position held jurisdiction of office,10,"government, administrative, base, held, county"
/base/aareas/schema/administrative_area/administrative_parent,base aareas schema administrative area administrative parent,10,"government, administrative, base, held, county"
/award/award_winning_work/awards_won./award/award_honor/award_winner,award award winning work awards won. award award honor award winner,15,"award, honor, awards, for, winner"
/organization/organization/place_founded,organization organization place founded,6,"organization, location, place, region, member"
/soccer/football_player/current_team./sports/sports_team_roster/team,soccer football player current team. sports sports team roster team,18,"roster, sports, position, football, team"
/government/politician/government_positions_held./government/government_position_held/basic_title,government politician government positions held. government government position held basic title,10,"government, administrative, base, held, county"
/music/artist/track_contributions./music/track_contribution/role,music artist track contributions. music track contribution role,11,"music, artist, genre, contribution, track"
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months,base localfood seasonal month produce available. base localfood produce availability seasonal months,14,"base, current, event, of, location"
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,celebrities celebrity celebrity friends. celebrities friendship friend,10,"government, administrative, base, held, county"
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,sports professional sports team draft picks. sports sports league draft pick school,12,"sports, team, draft, league, athlete"
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,award hall of fame inductees. award hall of fame induction inductee,15,"award, honor, awards, for, winner"
/influence/influence_node/peers./influence/peer_relationship/peers,influence influence node peers. influence peer relationship peers,10,"government, administrative, base, held, county"
/medicine/disease/risk_factors,medicine disease risk factors,10,"government, administrative, base, held, county"
/broadcast/content/artist,broadcast content artist,11,"music, artist, genre, contribution, track"
/film/film/estimated_budget./measurement_unit/dated_money_value/currency,film film estimated budget. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/military/military_conflict/combatants./military/military_combatant_group/combatants,military military conflict combatants. military military combatant group combatants,10,"government, administrative, base, held, county"
/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,location capital of administrative division capital of. location administrative division capital relationship administrative division,10,"government, administrative, base, held, county"
/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,0,"tv, program, producer, regular, personal"
/people/deceased_person/place_of_burial,people deceased person place of burial,8,"people, person, place, of, tenure"
/location/location/adjoin_s./location/adjoining_relationship/adjoins,location location adjoin s. location adjoining relationship adjoins,17,"location, statistical, region, relationship, popstra"
/music/group_member/membership./music/group_membership/role,music group member membership. music group membership role,16,"music, group, role, membership, performance"
/award/award_ceremony/awards_presented./award/award_honor/award_winner,award award ceremony awards presented. award award honor award winner,15,"award, honor, awards, for, winner"
/film/film/prequel,film film prequel,1,"film, by, performance, release, actor"
/film/film/produced_by,film film produced by,1,"film, by, performance, release, actor"
/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,tv tv program tv producer. tv tv producer term producer type,0,"tv, program, producer, regular, personal"
/sports/sports_position/players./sports/sports_team_roster/team,sports sports position players. sports sports team roster team,12,"sports, team, draft, league, athlete"
/olympics/olympic_games/participating_countries,olympics olympic games participating countries,13,"olympics, olympic, medal, country, athlete"
/music/genre/parent_genre,music genre parent genre,11,"music, artist, genre, contribution, track"
/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,tv tv writer tv programs. tv tv program writer relationship tv program,0,"tv, program, producer, regular, personal"
/music/genre/artists,music genre artists,11,"music, artist, genre, contribution, track"
/film/film/genre,film film genre,1,"film, by, performance, release, actor"
/people/person/employment_history./business/employment_tenure/company,people person employment history. business employment tenure company,8,"people, person, place, of, tenure"
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,education university domestic tuition. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/people/person/nationality,people person nationality,8,"people, person, place, of, tenure"
/location/country/capital,location country capital,7,"country, location, capital, language, division"
/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,location statistical region gni per capita in ppp dollars. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/base/aareas/schema/administrative_area/capital,base aareas schema administrative area capital,10,"government, administrative, base, held, county"
/business/business_operation/industry,business business operation industry,10,"government, administrative, base, held, county"
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,location hud foreclosure area estimated number of mortgages. measurement unit dated integer source,2,"measurement, unit, currency, money, value"
/film/film/other_crew./film/film_crew_gig/crewmember,film film other crew. film film crew gig crewmember,1,"film, by, performance, release, actor"
/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,base popstra location vacationers. base popstra vacation choice vacationer,4,"popstra, base, celebrity, dated, location"
/film/film/film_format,film film film format,1,"film, by, performance, release, actor"
/medicine/disease/notable_people_with_this_condition,medicine disease notable people with this condition,10,"government, administrative, base, held, county"
/film/film/costume_design_by,film film costume design by,1,"film, by, performance, release, actor"
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,government government office category officeholders. government government position held jurisdiction of office,10,"government, administrative, base, held, county"
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,location statistical region gdp nominal. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/sports/sports_team/roster./baseball/baseball_roster_position/position,sports sports team roster. baseball baseball roster position position,18,"roster, sports, position, football, team"
/award/award_winning_work/awards_won./award/award_honor/honored_for,award award winning work awards won. award award honor honored for,15,"award, honor, awards, for, winner"
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,olympics olympic sport athletes. olympics olympic athlete affiliation olympics,13,"olympics, olympic, medal, country, athlete"
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,celebrities celebrity sexual relationships. celebrities romantic relationship celebrity,10,"government, administrative, base, held, county"
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,people marriage union type unions of this type. people marriage location of ceremony,3,"people, of, marriage, spouse, person"
/organization/organization/child./organization/organization_relationship/child,organization organization child. organization organization relationship child,6,"organization, location, place, region, member"
/organization/organization_founder/organizations_founded,organization organization founder organizations founded,6,"organization, location, place, region, member"
/sports/sports_team/sport,sports sports team sport,12,"sports, team, draft, league, athlete"
/people/ethnicity/geographic_distribution,people ethnicity geographic distribution,8,"people, person, place, of, tenure"
/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,location statistical region places exported to. location imports and exports exported to,17,"location, statistical, region, relationship, popstra"
/location/country/official_language,location country official language,7,"country, location, capital, language, division"
/film/film/production_companies,film film production companies,1,"film, by, performance, release, actor"
/user/jg/default_domain/olympic_games/sports,user jg default domain olympic games sports,19,"user, member, olympic, organization, sports"
/time/event/locations,time event locations,10,"government, administrative, base, held, county"
/people/person/spouse_s./people/marriage/type_of_union,people person spouse s. people marriage type of union,3,"people, of, marriage, spouse, person"
/government/governmental_body/members./government/government_position_held/legislative_sessions,government governmental body members. government government position held legislative sessions,10,"government, administrative, base, held, county"
/media_common/netflix_genre/titles,media common netflix genre titles,10,"government, administrative, base, held, county"
/user/alexander/philosophy/philosopher/interests,user alexander philosophy philosopher interests,19,"user, member, olympic, organization, sports"
/film/film/runtime./film/film_cut/film_release_region,film film runtime. film film cut film release region,1,"film, by, performance, release, actor"
/education/educational_institution/students_graduates./education/education/student,education educational institution students graduates. education education student,9,"education, educational, institution, degree, field"
/base/eating/practicer_of_diet/diet,base eating practicer of diet diet,14,"base, current, event, of, location"
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,tv non character role tv regular personal appearances. tv tv regular personal appearance person,0,"tv, program, producer, regular, personal"
/sports/sports_position/players./sports/sports_team_roster/position,sports sports position players. sports sports team roster position,12,"sports, team, draft, league, athlete"
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,sports professional sports team draft picks. sports sports league draft pick draft,12,"sports, team, draft, league, athlete"
/medicine/symptom/symptom_of,medicine symptom symptom of,10,"government, administrative, base, held, county"
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,film person or entity appearing in film films. film personal film appearance type of appearance,1,"film, by, performance, release, actor"
/sports/sports_team_location/teams,sports sports team location teams,12,"sports, team, draft, league, athlete"
/american_football/football_team/current_roster./sports/sports_team_roster/position,american football football team current roster. sports sports team roster position,18,"roster, sports, position, football, team"
/people/person/places_lived./people/place_lived/location,people person places lived. people place lived location,8,"people, person, place, of, tenure"
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,location statistical region rent50 2. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/film/film/personal_appearances./film/personal_film_appearance/person,film film personal appearances. film personal film appearance person,1,"film, by, performance, release, actor"
/music/instrument/family,music instrument family,11,"music, artist, genre, contribution, track"
/sports/sports_team/roster./basketball/basketball_roster_position/position,sports sports team roster. basketball basketball roster position position,18,"roster, sports, position, football, team"
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,base schemastaging organization extra phone number. base schemastaging phone sandbox service location,10,"government, administrative, base, held, county"
/film/film/release_date_s./film/film_regional_release_date/film_release_region,film film release date s. film film regional release date film release region,1,"film, by, performance, release, actor"
/award/award_category/disciplines_or_subjects,award award category disciplines or subjects,5,"category, award, of, actor, producer"
/base/popstra/celebrity/friendship./base/popstra/friendship/participant,base popstra celebrity friendship. base popstra friendship participant,4,"popstra, base, celebrity, dated, location"
/music/performance_role/regular_performances./music/group_membership/group,music performance role regular performances. music group membership group,16,"music, group, role, membership, performance"
/film/film/edited_by,film film edited by,1,"film, by, performance, release, actor"
/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,base x2010fifaworldcupsouthafrica world cup squad current world cup squad. base x2010fifaworldcupsouthafrica current world cup squad current club,14,"base, current, event, of, location"
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,base popstra celebrity canoodled. base popstra canoodled participant,4,"popstra, base, celebrity, dated, location"
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,film film release date s. film film regional release date film release distribution medium,1,"film, by, performance, release, actor"
/film/film/other_crew./film/film_crew_gig/film_crew_role,film film other crew. film film crew gig film crew role,1,"film, by, performance, release, actor"
/base/popstra/celebrity/breakup./base/popstra/breakup/participant,base popstra celebrity breakup. base popstra breakup participant,4,"popstra, base, celebrity, dated, location"
/film/film/country,film film country,1,"film, by, performance, release, actor"
/music/performance_role/regular_performances./music/group_membership/role,music performance role regular performances. music group membership role,16,"music, group, role, membership, performance"
/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,sports sports team roster. american football football historical roster position position s,18,"roster, sports, position, football, team"
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,film film release date s. film film regional release date film regional debut venue,1,"film, by, performance, release, actor"
/time/event/instance_of_recurring_event,time event instance of recurring event,10,"government, administrative, base, held, county"
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,olympics olympic participating country athletes. olympics olympic athlete affiliation olympics,13,"olympics, olympic, medal, country, athlete"
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,organization endowed organization endowment. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,travel travel destination how to get here. travel transportation mode of transportation,10,"government, administrative, base, held, county"
/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,baseball baseball team team stats. baseball baseball team stats season,10,"government, administrative, base, held, county"
/award/award_category/winners./award/award_honor/ceremony,award award category winners. award award honor ceremony,15,"award, honor, awards, for, winner"
/government/legislative_session/members./government/government_position_held/district_represented,government legislative session members. government government position held district represented,10,"government, administrative, base, held, county"
/influence/influence_node/influenced_by,influence influence node influenced by,10,"government, administrative, base, held, county"
/base/culturalevent/event/entity_involved,base culturalevent event entity involved,14,"base, current, event, of, location"
/people/ethnicity/people,people ethnicity people,8,"people, person, place, of, tenure"
/sports/sport/pro_athletes./sports/pro_sports_played/athlete,sports sport pro athletes. sports pro sports played athlete,12,"sports, team, draft, league, athlete"
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,location statistical region gdp nominal per capita. measurement unit dated money value currency,2,"measurement, unit, currency, money, value"
/location/hud_county_place/place,location hud county place place,10,"government, administrative, base, held, county"
/base/aareas/schema/administrative_area/administrative_area_type,base aareas schema administrative area administrative area type,10,"government, administrative, base, held, county"
/base/locations/continents/countries_within,base locations continents countries within,14,"base, current, event, of, location"
/sports/sports_position/players./american_football/football_historical_roster_position/position_s,sports sports position players. american football football historical roster position position s,18,"roster, sports, position, football, team"
/people/person/spouse_s./people/marriage/location_of_ceremony,people person spouse s. people marriage location of ceremony,3,"people, of, marriage, spouse, person"
/education/educational_institution/students_graduates./education/education/major_field_of_study,education educational institution students graduates. education education major field of study,9,"education, educational, institution, degree, field"
/film/film/written_by,film film written by,1,"film, by, performance, release, actor"
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,olympics olympic sport athletes. olympics olympic athlete affiliation country,13,"olympics, olympic, medal, country, athlete"
/music/performance_role/guest_performances./music/recording_contribution/performance_role,music performance role guest performances. music recording contribution performance role,16,"music, group, role, membership, performance"
/film/film/featured_film_locations,film film featured film locations,1,"film, by, performance, release, actor"
/education/educational_institution_campus/educational_institution,education educational institution campus educational institution,9,"education, educational, institution, degree, field"
/sports/pro_athlete/teams./sports/sports_team_roster/team,sports pro athlete teams. sports sports team roster team,12,"sports, team, draft, league, athlete"
/people/ethnicity/languages_spoken,people ethnicity languages spoken,8,"people, person, place, of, tenure"
/film/film/executive_produced_by,film film executive produced by,1,"film, by, performance, release, actor"
/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,tv tv producer programs produced. tv tv producer term producer type,0,"tv, program, producer, regular, personal"
/location/location/contains,location location contains,17,"location, statistical, region, relationship, popstra"
/base/biblioness/bibs_location/country,base biblioness bibs location country,7,"country, location, capital, language, division"
/user/ktrueman/default_domain/international_organization/member_states,user ktrueman default domain international organization member states,19,"user, member, olympic, organization, sports"
/music/performance_role/track_performances./music/track_contribution/role,music performance role track performances. music track contribution role,16,"music, group, role, membership, performance"
/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,olympics olympic games medals awarded. olympics olympic medal honor medal,13,"olympics, olympic, medal, country, athlete"
/base/saturdaynightlive/snl_cast_member/seasons./base/saturdaynightlive/snl_season_tenure/cast_members,base saturdaynightlive snl cast member seasons. base saturdaynightlive snl season tenure cast members,14,"base, current, event, of, location"
