head,tail,expected_relation,predicted_relation
/m/06by7,/m/0153nq,music genre artists,"music, artist, genre, contribution, track"
/m/01wxdn3,/m/07ssc,people person nationality,"people, person, place, of, tenure"
/m/01wxdn3,/m/011_6p,music artist track contributions. music track contribution role,"(music, artist, genre, contribution, track)"
/m/03g5jw,/m/014_lq,influence influence node influenced by,"music, group, role, membership, performance"
/m/02m97n,/m/09bkv,organization organization headquarters. location mailing address citytown,"(organization, location, place, region, member)"
/m/07y9k,/m/035s37,sports sports league teams. sports sports league participation team,"(user, member, olympic, organization, sports)"
/m/06c97,/m/05f4p,organization organization founder organizations founded,"(people, person, place, of, tenure)"
/m/01cwhp,/m/02f79n,award award nominee award nominations. award award nomination award,"(award, honor, awards, for, winner)"
/m/01cwhp,/m/05zkcn5,award award nominee award nominations. award award nomination award,"award, honor, awards, for, winner"
/m/02xry,/m/02hcv8,location location time zones,"(location, statistical, region, relationship, popstra)"
/m/02xry,/m/01y0s9,location statistical region religions. location religion percentage religion,"(people, person, place, of, tenure)"
/m/018dh3,/m/08mbj5d,common topic webpage. common webpage category,"(organization, location, place, region, member)"
/m/099c8n,/m/064lsn,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/026lgs,/m/02h40lc,film film language,"country, location, capital, language, division"
/m/03j0d,/m/03hnd,influence influence node influenced by,"(award, honor, awards, for, winner)"
/m/0ccck7,/m/0h7x,film film release date s. film film regional release date film release region,"award, honor, awards, for, winner"
/m/017_cl,/m/0j2jr,sports sports team location teams,"(organization, location, place, region, member)"
/m/0hcs3,/m/04mjl,sports pro athlete teams. sports sports team roster team,"(sports, team, draft, league, athlete)"
/m/05xb7q,/m/05xb7q,education educational institution campuses,"(education, educational, institution, degree, field)"
/m/063g7l,/m/09c7w0,people person nationality,"(people, person, place, of, tenure)"
/m/0gy7bj4,/m/01tz6vs,film film story by,"(people, of, marriage, spouse, person)"
/m/04lc0h,/m/0ctw_b,base biblioness bibs location country,"country, location, capital, language, division"
/m/0137g1,/m/05zkcn5,award award nominee award nominations. award award nomination award,"(award, honor, awards, for, winner)"
/m/04ycjk,/m/09nqf,education university domestic tuition. measurement unit dated money value currency,"(measurement, unit, currency, money, value)"
/m/0mgkg,/m/02h40lc,base schemastaging organization extra phone number. base schemastaging phone sandbox service language,"(country, location, capital, language, division)"
/m/01rhrd,/m/0l6mp,olympics olympic participating country athletes. olympics olympic athlete affiliation olympics,"(olympics, olympic, medal, country, athlete)"
/m/02mjs7,/m/04gxp2,education educational degree people with this degree. education education institution,"education, educational, institution, degree, field"
/m/01v90t,/m/05zppz,people person gender,"(film, by, performance, release, actor)"
/m/017cy9,/m/07tf8,education educational institution school type,"(education, educational, institution, degree, field)"
/m/023kzp,/m/09c7w0,people person nationality,"(film, by, performance, release, actor)"
/m/013yq,/m/0km5c,base petbreeds city with dogs top breeds. base petbreeds dog city relationship dog breed,"(popstra, base, celebrity, dated, location)"
/m/02tfl8,/m/07s4l,medicine symptom symptom of,"(people, person, place, of, tenure)"
/m/075wx7_,/m/02ynfr,film film other crew. film film crew gig film crew role,"(film, by, performance, release, actor)"
/m/055c8,/m/09c7w0,people person nationality,"(people, person, place, of, tenure)"
/m/01znc_,/m/07t65,organization organization member member of. organization organization membership organization,"organization, location, place, region, member"
/m/05148p4,/m/01x66d,music instrument instrumentalists,"music, artist, genre, contribution, track"
/m/03bwzr4,/m/01zwy,education educational degree people with this degree. education education student,"education, educational, institution, degree, field"
/m/0g5lhl7,/m/07ssc,base schemastaging organization extra phone number. base schemastaging phone sandbox service location,"organization, location, place, region, member"
/m/08qvhv,/m/0h3k3f,film actor film. film performance film,"(film, by, performance, release, actor)"
/m/01tj34,/m/0gqyl,award award nominee award nominations. award award nomination award,"(award, honor, awards, for, winner)"
/m/012mzw,/m/08mbj5d,common topic webpage. common webpage category,"education, educational, institution, degree, field"
/m/0226cw,/m/07p__7,government politician government positions held. government government position held legislative sessions,"(people, person, place, of, tenure)"
/m/02yv6b,/m/01vsl3_,music genre artists,"(music, artist, genre, contribution, track)"
/m/02yv6b,/m/01518s,music genre artists,"music, artist, genre, contribution, track"
/m/05f2jk,/m/0f2wj,people deceased person place of death,"(tv, program, producer, regular, personal)"
/m/02dlfh,/m/09c7w0,people person nationality,"(people, person, place, of, tenure)"
/m/01n8gr,/m/0lgw7,people person profession,"(music, artist, genre, contribution, track)"
/m/0l2nd,/m/0kq2g,location location adjoin s. location adjoining relationship adjoins,"government, administrative, base, held, county"
/m/0jgwf,/m/02pqp12,award award nominee award nominations. award award nomination award,"award, honor, awards, for, winner"
/m/09v8db5,/m/0gl02yg,award award category nominees. award award nomination nominated for,"award, honor, awards, for, winner"
/m/02h4rq6,/m/01l8t8,education educational degree people with this degree. education education institution,"education, educational, institution, degree, field"
/m/049g_xj,/m/036k0s,people person place of birth,"(popstra, base, celebrity, dated, location)"
/m/02h48,/m/04ztj,people person spouse s. people marriage type of union,"(people, of, marriage, spouse, person)"
/m/07x4qr,/m/0345h,film film release date s. film film regional release date film release region,"(popstra, base, celebrity, dated, location)"
/m/0b7xl8,/m/05sxg2,people person profession,"(tv, program, producer, regular, personal)"
/m/02dpl9,/m/0dxtw,film film other crew. film film crew gig film crew role,"(film, by, performance, release, actor)"
/m/02dpl9,/m/06mzp,film film release date s. film film regional release date film release region,"(film, by, performance, release, actor)"
/m/0d7wh,/m/083tk,people ethnicity languages spoken,"country, location, capital, language, division"
/m/0d7wh,/m/02vkvcz,people ethnicity people,"(people, person, place, of, tenure)"
/m/0b1xl,/m/09s1f,education educational institution students graduates. education education major field of study,"(education, educational, institution, degree, field)"
/m/03lmzl,/m/0r5y9,people person place of birth,"(popstra, base, celebrity, dated, location)"
/m/01cgz,/m/077qn,olympics olympic sport athletes. olympics olympic athlete affiliation country,"(sports, team, draft, league, athlete)"
/m/01cgz,/m/01xbgx,olympics olympic sport athletes. olympics olympic athlete affiliation country,"(sports, team, draft, league, athlete)"
/m/01swxv,/m/0325pb,education university fraternities and sororities,"organization, location, place, region, member"
/m/0_9l_,/m/07fb8_,film film film format,"film, by, performance, release, actor"
/m/02py7pj,/m/0bw6y,award award category winners. award award honor award winner,"(award, honor, awards, for, winner)"
/m/0gs9p,/m/01fx4k,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/0gs9p,/m/0jym0,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/01304j,/m/0395lw,music artist track contributions. music track contribution role,"music, artist, genre, contribution, track"
/m/01309x,/m/02hrh1q,people person profession,"(film, by, performance, release, actor)"
/m/01l3j,/m/01pb34,film actor film. film performance special performance type,"(film, by, performance, release, actor)"
/m/015fs3,/m/01mkq,education educational institution students graduates. education education major field of study,"education, educational, institution, degree, field"
/m/01trf3,/m/0np9r,people person profession,"film, by, performance, release, actor"
/m/0gq_v,/m/09306z,award award category winners. award award honor ceremony,"(award, honor, awards, for, winner)"
/m/01trxd,/m/05qjt,education educational institution students graduates. education education major field of study,"education, educational, institution, degree, field"
/m/030qb3t,/m/0k049,location location contains,"government, administrative, base, held, county"
/m/0m68w,/m/02hrh1q,people person profession,"(film, by, performance, release, actor)"
/m/0j_c,/m/02jx1,people person nationality,"(people, person, place, of, tenure)"
/m/03hkv_r,/m/01jrbv,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/0lpjn,/m/088cp,people person place of birth,"(people, person, place, of, tenure)"
/m/013w7j,/m/04n3l,people person places lived. people place lived location,"(popstra, base, celebrity, dated, location)"
/m/06rq2l,/m/0ch3qr1,film actor film. film performance film,"(film, by, performance, release, actor)"
/m/0h3y,/m/0kbvb,olympics olympic participating country athletes. olympics olympic athlete affiliation olympics,"(olympics, olympic, medal, country, athlete)"
/m/01f8hf,/m/02kdv5l,film film genre,"film, by, performance, release, actor"
/m/02bfxb,/m/0ctw_b,people person nationality,"people, person, place, of, tenure"
/m/0661ql3,/m/0k6nt,film film release date s. film film regional release date film release region,"(film, by, performance, release, actor)"
/m/03v3xp,/m/02tr7d,award award nominee award nominations. award award nomination award nominee,"(film, by, performance, release, actor)"
/m/0pc62,/m/03_9r,film film language,"country, location, capital, language, division"
/m/01qszl,/m/01mw1,business business operation industry,"organization, location, place, region, member"
/m/034qzw,/m/06m6z6,film film executive produced by,"film, by, performance, release, actor"
/m/01trtc,/m/01q_wyj,music record label artist,"music, artist, genre, contribution, track"
/m/01ppq,/m/07t65,organization organization member member of. organization organization membership organization,"organization, location, place, region, member"
/m/08d6bd,/m/0688f,people person languages,"(country, location, capital, language, division)"
/m/07vyf,/m/01t6b4,education educational institution students graduates. education education student,"(education, educational, institution, degree, field)"
/m/09gq0x5,/m/0kszw,award award winning work awards won. award award honor award winner,"(film, by, performance, release, actor)"
/m/013b6_,/m/0hwqg,people ethnicity people,"(people, person, place, of, tenure)"
/m/0kv9d3,/m/064_8sq,film film language,"(country, location, capital, language, division)"
/m/030pr,/m/09c7w0,people person nationality,"(people, person, place, of, tenure)"
/m/076psv,/m/03mr85,film film set designer film sets designed,"(award, honor, awards, for, winner)"
/m/09yhzs,/m/07_fj54,film actor film. film performance film,"(film, by, performance, release, actor)"
/m/05ztjjw,/m/01hv3t,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/0dwxr,/m/015qh,olympics olympic sport athletes. olympics olympic athlete affiliation country,"(olympics, olympic, medal, country, athlete)"
/m/02w4fkq,/m/03qbnj,award award nominee award nominations. award award nomination award,"(award, honor, awards, for, winner)"
/m/06bd5j,/m/09nqf,film film estimated budget. measurement unit dated money value currency,"(film, by, performance, release, actor)"
/m/05xvj,/m/047dpm0,sports professional sports team draft picks. sports sports league draft pick draft,"(sports, team, draft, league, athlete)"
/m/07w0v,/m/0jjw,education educational institution students graduates. education education major field of study,"education, educational, institution, degree, field"
/m/018ygt,/m/09nqf,base schemastaging person extra net worth. measurement unit dated money value currency,"(measurement, unit, currency, money, value)"
/m/011wtv,/m/0rh6k,film film featured film locations,"(film, by, performance, release, actor)"
/m/02pqp12,/m/092vkg,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)"
/m/0m31m,/m/07kg3,people person spouse s. people marriage location of ceremony,"(popstra, base, celebrity, dated, location)"
/m/015q1n,/m/01jnf1,education educational institution colors,"(sports, team, draft, league, athlete)"
/m/045g4l,/m/02hrh1q,people person profession,"(film, by, performance, release, actor)"
/m/01kwsg,/m/05r3qc,film actor film. film performance film,"film, by, performance, release, actor"
