head,tail,expected_relation,predicted_relation
2248744,1759182,hypernym,member meronym
12242123,13112664,hypernym,hypernym
10682038,1916634,derivationally related form,similar to
4956110,565592,derivationally related form,derivationally related form
824066,826509,hypernym,verb group
1946277,1945845,hypernym,hypernym
4372171,3575958,hypernym,instance hypernym
154778,153263,hypernym,verb group
14980579,14686352,hypernym,hypernym
7047011,7020895,synset domain topic of,instance hypernym
5301908,941990,derivationally related form,member of domain usage
11804604,11813309,member meronym,also see
11805837,11573660,hypernym,hypernym
11612349,11608250,hypernym,hypernym
2621901,5008746,derivationally related form,also see
7060167,7059255,hypernym,hypernym
8969291,3024420,derivationally related form,derivationally related form
6934132,6930934,hypernym,member meronym
10251779,7846,hypernym,instance hypernym
2625016,50693,derivationally related form,derivationally related form
4576211,2764779,has part,has part
2426799,13944914,derivationally related form,derivationally related form
11704791,11705052,has part,has part
4294426,2688443,hypernym,hypernym
4657876,1076793,derivationally related form,similar to
2150948,10576071,derivationally related form,verb group
937656,933420,hypernym,hypernym
5133287,5129201,hypernym,similar to
900070,836236,derivationally related form,verb group
1400575,8103777,hypernym,instance hypernym
1239064,2677567,derivationally related form,derivationally related form
10214637,1632411,derivationally related form,also see
3386011,2811936,has part,has part
13951984,13951444,hypernym,similar to
2496816,2539334,hypernym,verb group
5614657,5614175,hypernym,hypernym
13800801,171127,derivationally related form,derivationally related form
12202936,13104059,hypernym,hypernym
265386,260622,derivationally related form,derivationally related form
11529603,11536778,member meronym,member meronym
2390470,10363913,derivationally related form,member of domain usage
4907269,4616059,hypernym,hypernym
39021,37396,hypernym,hypernym
828901,962447,hypernym,verb group
136152,134780,hypernym,similar to
24649,3395745,derivationally related form,derivationally related form
9211735,9403734,instance hypernym,instance hypernym
9891470,2951358,derivationally related form,member of domain usage
4071393,3763968,hypernym,has part
343730,528667,synset domain topic of,member of domain usage
12501745,12547658,member meronym,member meronym
9851165,2669081,derivationally related form,verb group
14498096,1269379,derivationally related form,also see
3650173,1262113,derivationally related form,derivationally related form
2244956,2294436,also see,verb group
2529515,2531820,member meronym,member meronym
2621395,7092356,derivationally related form,verb group
960734,13845239,derivationally related form,derivationally related form
1567133,1563128,hypernym,instance hypernym
11199727,10650162,instance hypernym,instance hypernym
13999663,13998576,hypernym,hypernym
13481883,2762806,derivationally related form,derivationally related form
633864,785962,derivationally related form,derivationally related form
12892226,12904148,member meronym,member meronym
256961,256746,hypernym,also see
9165613,9483129,has part,member of domain region
3673767,1270784,derivationally related form,derivationally related form
8740875,8745901,has part,has part
2267826,2263378,hypernym,hypernym
2134589,2136623,member meronym,member meronym
6350918,6350274,hypernym,similar to
2400760,10760340,derivationally related form,member of domain usage
5537806,5220461,hypernym,hypernym
5505679,5462315,hypernym,hypernym
7242324,7241205,hypernym,hypernym
212173,4683600,derivationally related form,derivationally related form
534480,342028,hypernym,hypernym
8279298,8284481,hypernym,hypernym
3579982,4170515,has part,has part
9460888,9403734,instance hypernym,hypernym
2726715,14365356,derivationally related form,similar to
238867,239321,verb group,verb group
6845599,3189995,member of domain usage,instance hypernym
7409592,2685665,derivationally related form,derivationally related form
13478525,229280,derivationally related form,derivationally related form
455599,407535,hypernym,hypernym
1271428,956485,instance hypernym,instance hypernym
1741864,916464,synset domain topic of,synset domain topic of
2767308,1253060,derivationally related form,derivationally related form
347652,1898592,derivationally related form,verb group
471711,223720,derivationally related form,verb group
4826235,4846770,hypernym,similar to
1353405,14705718,derivationally related form,member of domain usage
493703,353992,derivationally related form,derivationally related form
2440705,2447591,member meronym,member meronym
13148019,13148384,member meronym,hypernym
9190918,7347,hypernym,hypernym
12995724,13082077,member meronym,member meronym
12464278,12464476,member meronym,similar to
6115476,6000400,hypernym,hypernym
9147046,4378842,has part,member of domain region
2259829,761713,hypernym,verb group
12195965,12196129,member meronym,instance hypernym
12099342,13118707,hypernym,hypernym
12112008,12102133,hypernym,instance hypernym
3631445,3106110,hypernym,hypernym
1012712,739662,derivationally related form,derivationally related form
12373361,11565385,hypernym,member meronym
6883725,4416901,hypernym,similar to
8199025,10305635,member meronym,member meronym
588888,5805475,derivationally related form,derivationally related form
704388,5784242,derivationally related form,verb group
10173895,7846,hypernym,instance hypernym
8920924,8926543,has part,member of domain region
1187620,8441203,synset domain topic of,synset domain topic of
12219875,12220019,member meronym,member of domain region
464513,1430111,also see,similar to
746084,1027508,hypernym,verb group
6756831,835506,derivationally related form,similar to
15022389,15022171,hypernym,hypernym
5613962,5617107,hypernym,similar to
13583724,2468793,derivationally related form,derivationally related form
11627028,11554175,hypernym,hypernym
2559752,2452885,hypernym,verb group
9283623,9225146,hypernym,hypernym
755500,838524,derivationally related form,verb group
5060476,5060189,hypernym,similar to
1811736,7528807,derivationally related form,similar to
1461328,378985,derivationally related form,derivationally related form
10216403,2593354,derivationally related form,similar to
11551211,8220891,hypernym,instance hypernym
396703,394813,hypernym,verb group
1605119,1616970,member meronym,member meronym
13463656,569318,derivationally related form,derivationally related form
2093390,7439284,derivationally related form,verb group
2674912,2707683,hypernym,instance hypernym
5513807,5457469,has part,has part
1959927,450335,synset domain topic of,member of domain usage
10387196,4091839,derivationally related form,member of domain usage
238720,13443787,derivationally related form,derivationally related form
940214,126264,hypernym,verb group
1745722,4004767,derivationally related form,member of domain usage
10396462,7846,hypernym,hypernym
8950035,8524735,instance hypernym,instance hypernym
1828405,7486922,derivationally related form,similar to
12192373,12193458,member meronym,hypernym
5035961,559102,derivationally related form,verb group
2216547,1759182,hypernym,hypernym
12445848,11561228,hypernym,instance hypernym
69166,67999,hypernym,verb group
2427726,10381214,derivationally related form,derivationally related form
13149296,13100677,hypernym,instance hypernym
1835103,9355850,derivationally related form,similar to
8344301,8342039,hypernym,member of domain region
2525866,2527145,member meronym,member meronym
2067941,2068408,member meronym,member meronym
1028748,10344774,derivationally related form,derivationally related form
141806,920336,derivationally related form,verb group
715074,352826,hypernym,verb group
10351874,761713,derivationally related form,verb group
1255057,691050,derivationally related form,derivationally related form
2671421,3081021,hypernym,has part
2121234,2125311,member meronym,instance hypernym
2217695,2217266,hypernym,verb group
9101318,8695539,instance hypernym,instance hypernym
11689197,13135832,hypernym,instance hypernym
1998019,1998183,member meronym,member meronym
8775784,8574314,instance hypernym,instance hypernym
1567678,1567133,hypernym,hypernym
1538469,510364,hypernym,verb group
147862,1284908,derivationally related form,verb group
4182890,3895585,hypernym,instance hypernym
5835747,5833840,hypernym,hypernym
6873252,6873571,has part,has part
5509889,5528060,has part,has part
10227985,6161718,derivationally related form,synset domain topic of
1004072,383606,hypernym,similar to
10878672,10625860,instance hypernym,instance hypernym
1713635,1713764,member meronym,instance hypernym
2462580,10760340,derivationally related form,derivationally related form
7237758,842538,derivationally related form,derivationally related form
11014450,10453533,instance hypernym,instance hypernym
1107705,1105639,hypernym,verb group
6890846,2141973,derivationally related form,similar to
1596479,1507175,hypernym,hypernym
1830798,1762528,hypernym,verb group
3472232,99721,derivationally related form,member of domain usage
11629501,11641788,member meronym,member meronym
11357332,10453533,instance hypernym,instance hypernym
13205482,13210827,member meronym,member meronym
608808,5833840,derivationally related form,derivationally related form
13907415,1280014,derivationally related form,similar to
1637166,5786372,derivationally related form,derivationally related form
815686,6746005,derivationally related form,verb group
6930934,6904171,hypernym,hypernym
332154,397576,hypernym,verb group
824292,6713187,derivationally related form,similar to
4762355,4760771,hypernym,hypernym
562935,2557638,derivationally related form,similar to
6568978,1747717,derivationally related form,derivationally related form
13107891,329495,derivationally related form,derivationally related form
8312559,6226057,synset domain topic of,synset domain topic of
6252138,1070102,derivationally related form,derivationally related form
872886,9774167,derivationally related form,verb group
1751021,1675963,hypernym,verb group
2512053,1140794,derivationally related form,derivationally related form
774056,9896826,derivationally related form,similar to
10295819,7846,hypernym,hypernym
262249,1466543,derivationally related form,derivationally related form
462092,89027,derivationally related form,derivationally related form
1366718,7527352,derivationally related form,derivationally related form
9373716,9411430,instance hypernym,instance hypernym
4074329,3129123,hypernym,instance hypernym
8951077,8524735,instance hypernym,instance hypernym
5536370,5303402,hypernym,hypernym
1705257,7258664,derivationally related form,derivationally related form
2149297,1864707,hypernym,hypernym
11350705,10084635,instance hypernym,instance hypernym
1921591,1921204,hypernym,verb group
657016,1051801,derivationally related form,similar to
3588414,946105,derivationally related form,member of domain usage
2447793,1139830,derivationally related form,also see
12957467,13167078,hypernym,hypernym
6005518,6004685,hypernym,hypernym
1984695,1982650,hypernym,hypernym
632236,5893356,derivationally related form,verb group
1566386,1504437,hypernym,member meronym
2202928,818466,derivationally related form,verb group
2645007,33615,derivationally related form,verb group
2578604,1432517,hypernym,hypernym
195617,195342,verb group,verb group
1654863,1639765,hypernym,hypernym
9044862,9105821,has part,member meronym
12637729,12641007,member meronym,instance hypernym
4356056,3976268,has part,has part
9629752,1845720,derivationally related form,derivationally related form
1865197,643250,also see,similar to
7083441,863579,derivationally related form,derivationally related form
12400261,12400924,member meronym,hypernym
10576223,7846,hypernym,member of domain usage
10034614,1170052,derivationally related form,verb group
1179707,2543181,derivationally related form,similar to
1012712,657260,derivationally related form,derivationally related form
291873,8646188,derivationally related form,derivationally related form
8096301,8149781,hypernym,instance hypernym
5477686,5477305,has part,has part
223720,1327301,derivationally related form,verb group
8792548,8011523,member of domain region,member of domain region
2842303,4565963,hypernym,hypernym
3738241,4377057,hypernym,hypernym
1654271,768921,derivationally related form,derivationally related form
306314,5623181,derivationally related form,similar to
9133500,8524735,instance hypernym,instance hypernym
2271544,646413,also see,similar to
12611479,11556857,hypernym,instance hypernym
90253,10511069,derivationally related form,derivationally related form
1650610,235435,derivationally related form,verb group
11502102,216216,derivationally related form,member of domain usage
1572978,1212572,hypernym,verb group
2466111,1222884,also see,similar to
9113762,8524735,instance hypernym,instance hypernym
1632103,5891572,derivationally related form,derivationally related form
2113430,907340,derivationally related form,derivationally related form
13023783,13031690,member meronym,member meronym
11915899,11915214,hypernym,hypernym
331950,191142,hypernym,hypernym
8860123,10513509,member of domain region,member of domain region
353469,267855,derivationally related form,verb group
3069213,3149951,hypernym,similar to
3791053,4576211,hypernym,hypernym
2470451,2489288,member meronym,member meronym
5370125,5418717,hypernym,hypernym
5399847,1471682,synset domain topic of,member of domain usage
2552737,1429349,hypernym,member meronym
5204004,8199025,synset domain topic of,member of domain usage
2036982,2037110,member meronym,also see
13658496,13649268,hypernym,hypernym
10518194,10435988,hypernym,similar to
2140781,229260,derivationally related form,similar to
2538216,2537085,hypernym,instance hypernym
6154464,6153846,hypernym,synset domain topic of
2198996,1762525,hypernym,hypernym
725274,7298154,derivationally related form,derivationally related form
8142170,8348815,hypernym,instance hypernym
5496990,5499379,has part,has part
7605474,7597365,hypernym,hypernym
1357831,1296462,hypernym,verb group
10942144,10020890,instance hypernym,instance hypernym
7152463,7152259,hypernym,hypernym
573932,126264,hypernym,verb group
521562,1711445,derivationally related form,derivationally related form
8904392,8524735,instance hypernym,instance hypernym
14786479,21939,hypernym,hypernym
1074650,4654337,derivationally related form,derivationally related form
1688589,1687665,hypernym,instance hypernym
10460033,10053808,hypernym,hypernym
2566528,68901,derivationally related form,verb group
331082,3724417,derivationally related form,derivationally related form
229026,109660,hypernym,verb group
8244062,10120085,derivationally related form,member meronym
6755776,6755568,hypernym,synset domain topic of
917772,10102506,derivationally related form,verb group
14560360,13920835,hypernym,similar to
1754105,113113,derivationally related form,derivationally related form
2951170,1422172,derivationally related form,verb group
621734,5685030,derivationally related form,verb group
9980090,7049713,derivationally related form,member of domain usage
12201166,11575425,hypernym,hypernym
6148148,6143154,hypernym,synset domain topic of
1877204,1850315,hypernym,verb group
2092309,7460104,derivationally related form,verb group
11654124,11654438,member meronym,member meronym
11195619,10301261,instance hypernym,instance hypernym
2037090,9437454,derivationally related form,derivationally related form
4169437,4593866,has part,has part
1920698,523513,synset domain topic of,member of domain usage
1926311,2075049,also see,verb group
9797113,2565491,derivationally related form,derivationally related form
8765460,8633957,instance hypernym,instance hypernym
2541875,1432517,hypernym,instance hypernym
6364329,6362953,hypernym,hypernym
10599806,1731031,derivationally related form,derivationally related form
13000668,11592146,hypernym,hypernym
8923755,8524735,instance hypernym,instance hypernym
847683,846509,hypernym,similar to
8173515,8761244,member meronym,member meronym
9051235,9103943,has part,member meronym
2454119,2455310,member meronym,member meronym
1800422,271263,derivationally related form,derivationally related form
897026,894552,hypernym,hypernym
1358328,8253450,derivationally related form,member of domain usage
336718,126264,hypernym,verb group
5520479,5264756,hypernym,hypernym
2662979,1203676,derivationally related form,derivationally related form
6135915,3002351,derivationally related form,derivationally related form
180770,180413,hypernym,similar to
1500082,2818832,derivationally related form,verb group
1822724,13811900,derivationally related form,derivationally related form
4151581,4014297,hypernym,hypernym
8023843,759694,synset domain topic of,member of domain usage
2472012,2474777,member meronym,member meronym
5055503,17222,synset domain topic of,member of domain usage
14501545,14500908,hypernym,similar to
3318983,4014297,hypernym,instance hypernym
832626,659349,has part,has part
1708676,428270,derivationally related form,verb group
1747945,6678302,derivationally related form,derivationally related form
6062076,9919297,derivationally related form,derivationally related form
6877849,6877078,hypernym,hypernym
378042,140123,hypernym,verb group
2661252,2666239,hypernym,similar to
12217211,12217586,member meronym,hypernym
3776460,4467099,hypernym,hypernym
1015244,5823932,derivationally related form,verb group
6915601,6906439,hypernym,hypernym
9999532,2253766,derivationally related form,derivationally related form
12213635,12216028,member meronym,member meronym
2330582,2350845,member meronym,member meronym
10985440,9805475,instance hypernym,instance hypernym
1989869,1974773,hypernym,member meronym
652346,5763412,derivationally related form,derivationally related form
11675096,11675842,hypernym,hypernym
6845599,3739136,member of domain usage,instance hypernym
8816236,9750891,member meronym,derivationally related form
13423615,1254013,derivationally related form,verb group
883226,10274318,derivationally related form,similar to
7186148,7185325,hypernym,derivationally related form
2230782,2231930,member meronym,member meronym
12514592,13112664,hypernym,hypernym
771961,7246582,derivationally related form,derivationally related form
10067968,10215623,hypernym,hypernym
9093608,8655464,instance hypernym,instance hypernym
2559862,2554730,hypernym,member meronym
2023992,3386011,derivationally related form,member of domain usage
1786419,1785971,hypernym,verb group
6350127,10654015,derivationally related form,member of domain usage
4103918,2691156,synset domain topic of,also see
8920924,8925287,has part,member meronym
1208597,1207609,hypernym,also see
13722757,13722522,has part,has part
2465693,2120451,derivationally related form,derivationally related form
1418037,243918,synset domain topic of,member of domain usage
2501101,1342529,hypernym,hypernym
1385017,1384687,hypernym,hypernym
14598079,1539633,derivationally related form,derivationally related form
15278281,15286249,hypernym,hypernym
2464626,2463205,has part,has part
2753255,331102,derivationally related form,derivationally related form
1292885,4613158,derivationally related form,similar to
6590885,6677302,synset domain topic of,member of domain usage
739632,739270,hypernym,hypernym
344421,331950,hypernym,also see
10347446,8199025,synset domain topic of,member meronym
4530566,4117216,has part,has part
7185325,753428,derivationally related form,derivationally related form
10247880,7846,hypernym,instance hypernym
7752109,7751451,hypernym,hypernym
2338901,2329401,hypernym,hypernym
504901,115157,hypernym,verb group
9189411,8707917,has part,member meronym
1523908,1584004,member meronym,member meronym
2690708,8624196,derivationally related form,verb group
395333,2350175,derivationally related form,derivationally related form
1831308,5685030,derivationally related form,derivationally related form
13566535,376106,derivationally related form,similar to
2163982,1342529,hypernym,instance hypernym
873603,884778,also see,similar to
2457058,44900,derivationally related form,derivationally related form
4889162,4887912,hypernym,similar to
264776,4860586,derivationally related form,similar to
8179879,7942152,hypernym,member meronym
7485475,1188485,derivationally related form,similar to
8765069,8691669,instance hypernym,instance hypernym
8231499,8078819,member meronym,member meronym
188137,187526,hypernym,verb group
7105475,15267945,member of domain usage,member of domain usage
1880113,1831531,hypernym,verb group
3158885,3474896,has part,has part
10379620,1081152,derivationally related form,verb group
10771270,1041415,derivationally related form,derivationally related form
1400044,125629,derivationally related form,verb group
2154508,6767035,derivationally related form,verb group
650353,10012815,derivationally related form,derivationally related form
93979,241689,hypernym,similar to
2647497,5393023,derivationally related form,member of domain usage
8760510,8761244,member meronym,member meronym
2038357,5068080,derivationally related form,similar to
1194483,4663763,derivationally related form,similar to
635794,575365,derivationally related form,similar to
8955626,8700255,instance hypernym,instance hypernym
1134781,122954,derivationally related form,verb group
8566028,8568978,hypernym,hypernym
456596,456740,verb group,verb group
915830,941990,hypernym,verb group
14462193,14460565,hypernym,similar to
241038,7313004,derivationally related form,derivationally related form
858377,858188,hypernym,hypernym
921072,5919034,derivationally related form,derivationally related form
12883395,11579418,hypernym,hypernym
8131530,8347704,has part,has part
369194,8303504,derivationally related form,derivationally related form
15145782,15290337,hypernym,instance hypernym
1305361,8640111,derivationally related form,verb group
306426,306900,has part,member meronym
1020005,6765044,derivationally related form,verb group
1950798,1105259,derivationally related form,derivationally related form
6951067,10589243,member of domain usage,member of domain usage
1629589,1617192,hypernym,verb group
8024096,759694,synset domain topic of,instance hypernym
164999,163779,hypernym,similar to
1209678,5566504,derivationally related form,derivationally related form
2579447,10419047,derivationally related form,derivationally related form
7039056,1707495,derivationally related form,derivationally related form
8101410,1429455,derivationally related form,hypernym
2016523,7370125,derivationally related form,verb group
6142118,5999797,hypernym,hypernym
12423565,12459471,member meronym,member meronym
7619881,7566340,hypernym,hypernym
1753488,1752165,hypernym,member meronym
10820790,10705615,instance hypernym,instance hypernym
2163183,2162947,hypernym,verb group
15037339,15037664,has part,has part
6013584,6000644,synset domain topic of,instance hypernym
710005,704690,hypernym,verb group
9760913,1728355,derivationally related form,derivationally related form
2108026,2108377,hypernym,verb group
14302261,2616627,derivationally related form,derivationally related form
11217479,10794014,instance hypernym,instance hypernym
11683989,1500873,derivationally related form,member of domain usage
1217043,3421117,derivationally related form,derivationally related form
12423565,12473011,member meronym,member meronym
7211752,66025,derivationally related form,similar to
5514272,5514081,hypernym,hypernym
11835451,11573660,hypernym,instance hypernym
6180720,5870916,hypernym,also see
9252078,9411430,instance hypernym,instance hypernym
3852280,3656484,has part,has part
1467180,1467504,member meronym,member meronym
8792548,8797840,has part,member meronym
6609503,6607339,hypernym,similar to
43765,2603699,derivationally related form,derivationally related form
207306,206927,hypernym,hypernym
6151693,6143154,hypernym,hypernym
1696648,1675963,hypernym,verb group
3075191,6974127,derivationally related form,synset domain topic of
11886788,11575425,hypernym,hypernym
1374465,9397607,derivationally related form,derivationally related form
8152657,10547145,member meronym,member meronym
1834896,1835103,verb group,verb group
2766792,3452741,hypernym,instance hypernym
3530910,3532187,has part,has part
1771390,1767949,hypernym,verb group
8023843,8392137,instance hypernym,instance hypernym
13000372,13004160,member meronym,member meronym
8928933,8524735,instance hypernym,instance hypernym
455529,252430,derivationally related form,verb group
14863521,14859838,hypernym,hypernym
13137409,7742704,has part,hypernym
881329,880978,hypernym,similar to
4543772,4283378,has part,has part
9614047,264776,derivationally related form,similar to
12079737,11556857,hypernym,hypernym
11795366,11556857,hypernym,hypernym
198793,191142,hypernym,hypernym
977153,976653,hypernym,verb group
417643,1424948,derivationally related form,verb group
10060352,796886,derivationally related form,hypernym
574996,7416107,derivationally related form,derivationally related form
6584891,6355894,hypernym,member of domain usage
8815046,9693809,member meronym,member meronym
2124748,2106506,hypernym,hypernym
9044862,7647496,member of domain region,member of domain region
6335832,6333653,hypernym,derivationally related form
12574727,11585340,hypernym,hypernym
40962,2724417,derivationally related form,derivationally related form
7086518,1880113,derivationally related form,verb group
12194776,12195965,member meronym,member meronym
4217882,1498319,derivationally related form,derivationally related form
12154628,12154773,member meronym,hypernym
3339296,4188643,hypernym,hypernym
4029734,4421872,hypernym,hypernym
15237782,15236475,hypernym,instance hypernym
2428487,53913,derivationally related form,verb group
15163005,15157041,hypernym,instance hypernym
8929243,8929555,has part,has part
236581,2007417,derivationally related form,verb group
1792097,1790020,hypernym,verb group
8715952,8524735,instance hypernym,instance hypernym
4003241,4330340,hypernym,instance hypernym
4987620,982293,derivationally related form,derivationally related form
10274639,9931267,hypernym,similar to
10435988,1507143,derivationally related form,verb group
7712559,7712382,hypernym,hypernym
13412321,1001857,derivationally related form,also see
2594552,2594250,hypernym,hypernym
7311115,1835496,derivationally related form,verb group
8394423,8191230,hypernym,hypernym
2244963,1759182,hypernym,member meronym
7182744,7183151,hypernym,similar to
2932891,1844653,derivationally related form,instance hypernym
652659,633864,hypernym,member of domain usage
5459953,14867858,hypernym,member meronym
3270165,4304375,has part,has part
553362,1103836,derivationally related form,verb group
475647,252430,derivationally related form,derivationally related form
67274,9860940,derivationally related form,derivationally related form
514396,1387786,derivationally related form,similar to
2087156,2077656,hypernym,verb group
518653,313987,hypernym,similar to
369138,2028994,derivationally related form,verb group
7443010,1521124,derivationally related form,derivationally related form
2329883,4322026,derivationally related form,derivationally related form
