head,tail,expected_relation,predicted_relation,expected_cluster,predicted_cluster
/m/026c1,/m/03s6l2,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
/m/03j90,/m/05z96,people person profession,"people, of, marriage",8,Unknown
/m/0p9sw,/m/02zk08,award award category nominees. award award nomination nominated for,"(award, honor, awards, for, winner)",15,15
/m/01hydr,/m/0kz10,music genre parent genre,"(music, artist, genre, contribution, track)",11,11
/m/01gtc0,/m/0vbk,government legislative session members. government government position held district represented,"(government, administrative, base, held, county)",10,10
/m/0h63gl9,/m/07ssc,film film release date s. film film regional release date film release region,"(people, of, marriage, spouse, person)",1,3
/m/033cnk,/m/0f4hc,food food nutrients. food nutrition fact nutrient,"(user, member, olympic, organization, sports)",10,19
/m/033cnk,/m/02y_3rf,food food nutrients. food nutrition fact nutrient,"award, honor, awards, for, winner",10,15
/m/084m3,/m/034qrh,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
/m/014mlp,/m/01x5fb,education educational degree people with this degree. education education institution,"(education, educational, institution, degree, field)",9,9
/m/0b7l4x,/m/03sb38,film film production companies,"(film, by, performance, release, actor)",1,1
/m/016yvw,/m/01g63y,people person spouse s. people marriage type of union,"people, of, marriage, spouse, person",3,3
/m/06ltr,/m/016ywb,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
/m/01dq5z,/m/03q95r,education educational institution students graduates. education education student,"(people, of, marriage, spouse, person)",9,3
/m/02vwckw,/m/0n1h,people person profession,"music, artist, genre, contribution, track",8,11
/m/049t4g,/m/09sb52,award award nominee award nominations. award award nomination award,"film, by, performance, release, actor",15,1
/m/08k881,/m/01qncf,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
/m/01w58n3,/m/016z4k,people person profession,"people, of, marriage, spouse, person",8,3
/m/0h_cssd,/m/0h0wc,award award ceremony awards presented. award award honor award winner,"(film, by, performance, release, actor)",15,1
/m/06by7,/m/0153nq,music genre artists,"(music, artist, genre, contribution, track)",11,11
/m/01wxdn3,/m/07ssc,people person nationality,"(government, administrative, base, held, county)",8,10
/m/01wxdn3,/m/011_6p,music artist track contributions. music track contribution role,"people, of, marriage, spouse, person",11,3
/m/03g5jw,/m/014_lq,influence influence node influenced by,"(music, artist, genre, contribution, track)",10,11
/m/02m97n,/m/09bkv,organization organization headquarters. location mailing address citytown,"(government, administrative, base, held, county)",6,10
/m/07y9k,/m/035s37,sports sports league teams. sports sports league participation team,"people, of, marriage, spouse, person",12,3
/m/06c97,/m/05f4p,organization organization founder organizations founded,"people, person, place, of, tenure",6,8
/m/01cwhp,/m/02f79n,award award nominee award nominations. award award nomination award,"(music, artist, genre, contribution, track)",15,11
/m/01cwhp,/m/05zkcn5,award award nominee award nominations. award award nomination award,"(category, award, of, actor, producer)",15,5
/m/02xry,/m/02hcv8,location location time zones,"(location, capital, capital, language, division)",17,Unknown
/m/02xry,/m/01y0s9,location statistical region religions. location religion percentage religion,"organization, location, place, region, member",17,6
/m/018dh3,/m/08mbj5d,common topic webpage. common webpage category,"(people, person, place, of, tenure)",5,8
/m/099c8n,/m/064lsn,award award category nominees. award award nomination nominated for,"(film, by, performance, release, actor)",15,1
/m/026lgs,/m/02h40lc,film film language,"people, of, marriage, spouse, person",1,3
/m/03j0d,/m/03hnd,influence influence node influenced by,"category, award, of, actor, producer",10,5
/m/0ccck7,/m/0h7x,film film release date s. film film regional release date film release region,"people, of, marriage, spouse, person",1,3
/m/017_cl,/m/0j2jr,sports sports team location teams,"(people, person, place, of, tenure)",12,8
/m/0hcs3,/m/04mjl,sports pro athlete teams. sports sports team roster team,"(sports, team, position, roster)",12,Unknown
/m/05xb7q,/m/05xb7q,education educational institution campuses,"(people, of, marriage, spouse, person)",9,3
/m/063g7l,/m/09c7w0,people person nationality,"(sports, team, draft, league, athlete)",8,12
/m/0gy7bj4,/m/01tz6vs,film film story by,"film, by, performance, release, actor",1,1
/m/04lc0h,/m/0ctw_b,base biblioness bibs location country,"(country, location, capital, language, division)",7,7
/m/0137g1,/m/05zkcn5,award award nominee award nominations. award award nomination award,"(music, artist, genre, contribution, track)",15,11
/m/04ycjk,/m/09nqf,education university domestic tuition. measurement unit dated money value currency,"(education, educational, institution, degree, field)",2,9
/m/0mgkg,/m/02h40lc,base schemastaging organization extra phone number. base schemastaging phone sandbox service language,"(people, of, marriage, spouse, person)",10,3
/m/01rhrd,/m/0l6mp,olympics olympic participating country athletes. olympics olympic athlete affiliation olympics,"(user, member, olympic, organization, sports)",13,19
/m/02mjs7,/m/04gxp2,education educational degree people with this degree. education education institution,"(education, educational, institution, degree, field)",9,9
/m/01v90t,/m/05zppz,people person gender,"(film, by, performance, release, actor)",8,1
/m/017cy9,/m/07tf8,education educational institution school type,"(education, institution, degree, field)",9,Unknown
/m/023kzp,/m/09c7w0,people person nationality,"(popstra, base, celebrity, dated, location)",8,4
/m/013yq,/m/0km5c,base petbreeds city with dogs top breeds. base petbreeds dog city relationship dog breed,"organization, location, place, region, member",14,6
/m/02tfl8,/m/07s4l,medicine symptom symptom of,"(people, of, marriage, spouse, person)",10,3
/m/075wx7_,/m/02ynfr,film film other crew. film film crew gig film crew role,"(government, administrative, base, held, county)",1,10
/m/055c8,/m/09c7w0,people person nationality,"film, by, performance, release, actor",8,1
/m/01znc_,/m/07t65,organization organization member member of. organization organization membership organization,"(category, award, of, actor, producer)",6,5
/m/05148p4,/m/01x66d,music instrument instrumentalists,"music, artist, genre, contribution, track",11,11
/m/03bwzr4,/m/01zwy,education educational degree people with this degree. education education student,"(education, educational, institution, degree, field)",9,9
/m/0g5lhl7,/m/07ssc,base schemastaging organization extra phone number. base schemastaging phone sandbox service location,"(organization, location, place, region, member)",10,6
/m/08qvhv,/m/0h3k3f,film actor film. film performance film,"(category, award, of, actor, producer)",1,5
/m/01tj34,/m/0gqyl,award award nominee award nominations. award award nomination award,"(fil, by, performance, release, actor)",15,Unknown
/m/012mzw,/m/08mbj5d,common topic webpage. common webpage category,"(organization, location, place, region, member)",5,6
/m/0226cw,/m/07p__7,government politician government positions held. government government position held legislative sessions,"people, of, tenure",10,Unknown
/m/02yv6b,/m/01vsl3_,music genre artists,"(music, artist, genre, contribution, track)",11,11
/m/02yv6b,/m/01518s,music genre artists,"(music, artist, genre, contribution, track)",11,11
/m/05f2jk,/m/0f2wj,people deceased person place of death,"film, by, performance, release, actor",8,1
/m/02dlfh,/m/09c7w0,people person nationality,"(film, by, performance, release, actor)",8,1
/m/01n8gr,/m/0lgw7,people person profession,"people, of, marriage, spouse, person",8,3
/m/0l2nd,/m/0kq2g,location location adjoin s. location adjoining relationship adjoins,"(government, administrative, base, held, county)",17,10
/m/0jgwf,/m/02pqp12,award award nominee award nominations. award award nomination award,"award, for, winner",15,Unknown
/m/09v8db5,/m/0gl02yg,award award category nominees. award award nomination nominated for,"(category, award, of, actor, producer)",15,5
/m/02h4rq6,/m/01l8t8,education educational degree people with this degree. education education institution,"(people, of, marriage, spouse, person)",9,3
/m/049g_xj,/m/036k0s,people person place of birth,"(film, by, performance, release, actor)",8,1
/m/02h48,/m/04ztj,people person spouse s. people marriage type of union,"(people, of, marriage, spouse, person)",3,3
/m/07x4qr,/m/0345h,film film release date s. film film regional release date film release region,"music, group, role, membership, performance",1,16
/m/0b7xl8,/m/05sxg2,people person profession,"(category, award, of, actor, producer)",8,5
/m/02dpl9,/m/0dxtw,film film other crew. film film crew gig film crew role,"film, by, performance, release, actor",1,1
/m/02dpl9,/m/06mzp,film film release date s. film film regional release date film release region,"film, by, performance, release, actor",1,1
/m/0d7wh,/m/083tk,people ethnicity languages spoken,"(country, location, capital, language, division)",8,7
/m/0d7wh,/m/02vkvcz,people ethnicity people,"(people, of, marriage, spouse, person)",8,3
/m/0b1xl,/m/09s1f,education educational institution students graduates. education education major field of study,"(education, institution, degree, field)",9,Unknown
/m/03lmzl,/m/0r5y9,people person place of birth,"(government, administrative, base, held, county)",8,10
/m/01cgz,/m/077qn,olympics olympic sport athletes. olympics olympic athlete affiliation country,"(person, of, marriage, spouse, person)",13,Unknown
/m/01cgz,/m/01xbgx,olympics olympic sport athletes. olympics olympic athlete affiliation country,"organization, location, place, region, member",13,6
/m/01swxv,/m/0325pb,education university fraternities and sororities,"(organization, location, place, region, member)",9,6
/m/0_9l_,/m/07fb8_,film film film format,"film, by, performance, release, actor",1,1
/m/02py7pj,/m/0bw6y,award award category winners. award award honor award winner,"(category, award, of, actor, producer)",15,5
/m/0gs9p,/m/01fx4k,award award category nominees. award award nomination nominated for,"(category, award, of, actor, producer)",15,5
/m/0gs9p,/m/0jym0,award award category nominees. award award nomination nominated for,"award, honor, awards, for, winner",15,15
/m/01304j,/m/0395lw,music artist track contributions. music track contribution role,"music, artist, genre, contribution, track",11,11
/m/01309x,/m/02hrh1q,people person profession,"film, by, performance, release, actor",8,1
/m/01l3j,/m/01pb34,film actor film. film performance special performance type,"(film, by, performance, release, actor)",1,1
/m/015fs3,/m/01mkq,education educational institution students graduates. education education major field of study,"(education, educational, institution, degree, field)",9,9
/m/01trf3,/m/0np9r,people person profession,"(film, by, performance, release, actor)",8,1
/m/0gq_v,/m/09306z,award award category winners. award award honor ceremony,"(film, by, performance, release, actor)",15,1
/m/01trxd,/m/05qjt,education educational institution students graduates. education education major field of study,"(education, educational, institution, degree, field)",9,9
/m/030qb3t,/m/0k049,location location contains,"(government, administrative, base, held, county)",17,10
/m/0m68w,/m/02hrh1q,people person profession,"film, by, performance, release, actor",8,1
/m/0j_c,/m/02jx1,people person nationality,"(film, by, performance, release, actor)",8,1
/m/03hkv_r,/m/01jrbv,award award category nominees. award award nomination nominated for,"(film, by, performance, release, actor)",15,1
/m/0lpjn,/m/088cp,people person place of birth,"(government, administrative, base, held, county)",8,10
/m/013w7j,/m/04n3l,people person places lived. people place lived location,"people, person, place, of, tenure",8,8
/m/06rq2l,/m/0ch3qr1,film actor film. film performance film,"film, by, performance, release, actor",1,1
/m/0h3y,/m/0kbvb,olympics olympic participating country athletes. olympics olympic athlete affiliation olympics,"(government, administrative, base, held, county)",13,10
/m/01f8hf,/m/02kdv5l,film film genre,"(government, administrative, base, held, county)",1,10
/m/02bfxb,/m/0ctw_b,people person nationality,"people, of, marriage, spouse, person",8,3
/m/0661ql3,/m/0k6nt,film film release date s. film film regional release date film release region,"film, by, performance, release, actor",1,1
/m/03v3xp,/m/02tr7d,award award nominee award nominations. award award nomination award nominee,"(film, by, performance, release, actor)",15,1
/m/0pc62,/m/03_9r,film film language,"(country, location, capital, language, division)",1,7
/m/01qszl,/m/01mw1,business business operation industry,"(music, artist, genre, contribution, track)",10,11
/m/034qzw,/m/06m6z6,film film executive produced by,"(film, by, performance, release, actor)",1,1
/m/01trtc,/m/01q_wyj,music record label artist,"(music, artist, genre, contribution, track)",11,11
/m/01ppq,/m/07t65,organization organization member member of. organization organization membership organization,"organization, location, place, region, member",6,6
/m/08d6bd,/m/0688f,people person languages,"(fil, by, performance, release, actor)",8,Unknown
/m/07vyf,/m/01t6b4,education educational institution students graduates. education education student,"(people, of, marriage, spouse, person)",9,3
/m/09gq0x5,/m/0kszw,award award winning work awards won. award award honor award winner,"(film, by, performance, release, actor)",15,1
/m/013b6_,/m/0hwqg,people ethnicity people,"(film, by, performance, release, actor)",8,1
/m/0kv9d3,/m/064_8sq,film film language,"film, by, performance, release, actor",1,1
/m/030pr,/m/09c7w0,people person nationality,"(category, award, of, actor, producer)",8,5
/m/076psv,/m/03mr85,film film set designer film sets designed,"film, by, performance, release, actor",1,1
/m/09yhzs,/m/07_fj54,film actor film. film performance film,"film, by, performance, release, actor",1,1
/m/05ztjjw,/m/01hv3t,award award category nominees. award award nomination nominated for,"(film, by, performance, release, actor)",15,1
/m/0dwxr,/m/015qh,olympics olympic sport athletes. olympics olympic athlete affiliation country,"(sports, event, participant, country)",13,Unknown
/m/02w4fkq,/m/03qbnj,award award nominee award nominations. award award nomination award,"award, honor, awards, for, winner",15,15
/m/06bd5j,/m/09nqf,film film estimated budget. measurement unit dated money value currency,"(measurement, unit, currency, money, value)",2,2
/m/05xvj,/m/047dpm0,sports professional sports team draft picks. sports sports league draft pick draft,"(sports, team, draft, league, athlete)",12,12
/m/07w0v,/m/0jjw,education educational institution students graduates. education education major field of study,"people, of, marriage, spouse, person",9,3
/m/018ygt,/m/09nqf,base schemastaging person extra net worth. measurement unit dated money value currency,"(country, location, capital, language, division)",2,7
/m/011wtv,/m/0rh6k,film film featured film locations,"(government, administrative, base, held, county)",1,10
/m/02pqp12,/m/092vkg,award award category nominees. award award nomination nominated for,"award, honor, awards, for, winner",15,15
/m/0m31m,/m/07kg3,people person spouse s. people marriage location of ceremony,"(category, award, of, actor, producer)",3,5
/m/015q1n,/m/01jnf1,education educational institution colors,"(education, educational, institution, degree, field)",9,9
/m/045g4l,/m/02hrh1q,people person profession,"(film, by, performance, release, actor)",8,1
/m/01kwsg,/m/05r3qc,film actor film. film performance film,"(film, by, performance, release, actor)",1,1
